t,n_err,e_err,n_std,e_std
17.2,1.6877597198919365,-2.709362715228378,2.264198649875736,2.2343012172246843
17.3,1.6874958832981617,-2.7091621357810607,2.2638361254382446,2.234273807418795
17.4,1.687224000257986,-2.708956157706042,2.263471980116111,2.2342472341209945
17.5,1.686943226690781,-2.70874831746857,2.2631062169226395,2.234221508621156
17.6,1.6866655825860866,-2.7085362434961002,2.2627388387702356,2.2341966422981483
17.7,1.6863928483153114,-2.708317274279879,2.2623698484425874,2.2341726466177025
17.8,1.6861109270250831,-2.708087555531502,2.2619992488161835,2.23414953314202
17.9,1.6858442715141193,-2.7078572755746655,2.261627042991028,2.2341273135112054
18.0,1.6855826279778745,-2.7076328983382303,2.2612532340040503,2.234105999436071
18.1,1.6853164405740022,-2.707401843004663,2.2608778248329426,2.2340856026829274
18.2,1.6850364769059791,-2.7071642506057083,2.2605008186584663,2.234066135095663
18.3,1.6847659506059331,-2.7069252912795836,2.260122218737736,2.2340476085794596
18.4,1.6844969188054606,-2.706673564068141,2.2597420282909986,2.2340300351200866
18.5,1.6842383571303343,-2.7064066094750254,2.2593602505157038,2.2340134267753915
18.6,1.6839860387942736,-2.7061312203718986,2.258976888613604,2.2339977956929644
18.7,1.6837256860690422,-2.705854137612689,2.258591945882546,2.2339831541221784
18.8,1.6834613739482416,-2.7055743214163632,2.258205425735593,2.2339695144103167
18.9,1.6831974703711259,-2.7052871286603355,2.257817331657889,2.233956888999307
19.0,1.6829215375629072,-2.7049901548408326,2.2574276671142504,2.2339452904173176
19.1,1.682645240858108,-2.704690493708579,2.2570364355336343,2.233934731259518
19.2,1.6823705592353888,-2.7043895200437267,2.2566436403768098,2.233925224198553
19.3,1.6821037438558244,-2.704077270727261,2.256249285130003,2.2339167819734174
19.4,1.6818394025343943,-2.7037648657438247,2.255853373323058,2.233909417396034
19.5,1.681586647085008,-2.703447962932729,2.2554559086058554,2.23390314334542
19.6,1.681334516519015,-2.7031228650386447,2.2550568945571543,2.23389797277147
19.7,1.6810802551616577,-2.702796519791401,2.254656334661409,2.2338939186874667
19.8,1.680838813168895,-2.7024549268948994,2.2542542326262476,2.233890994178224
19.9,1.680597388888922,-2.7021061738708414,2.253850592358607,2.2338892124148635
20.0,1.680374535779686,-2.7017481201732716,2.2534454177801475,2.233888586627485
20.1,1.6801475948889462,-2.7013837582826126,2.253038712685148,2.2338891301306707
20.2,1.6799074480186422,-2.701006587519916,2.2526304807420465,2.233890856309731
20.3,1.6796781266386953,-2.7006245473753228,2.252220725734998,2.233893778625402
20.400000000000002,1.679447493721828,-2.700235423330765,2.25180945166114,2.23389791063658
20.5,1.6792101145240206,-2.699838564563097,2.2513966624706896,2.233903265978858
20.599999999999998,1.6789730041349427,-2.699442802347765,2.2509823620740517,2.2339098583641217
20.7,1.6787365342337288,-2.6990403412716506,2.25056655460706,2.2339177015897183
20.8,1.678493665613917,-2.6986398506260225,2.250149244206231,2.2339268095344766
20.9,1.6782455643833565,-2.698231428439197,2.2497304348099867,2.2339371961478074
21.0,1.6779922936706644,-2.6978110925712118,2.249310130464569,2.233948875458092
21.1,1.6777312843497922,-2.69738094065001,2.2488883354603746,2.2339618615709655
21.2,1.6774739847069235,-2.6969408117548532,2.248465053978745,2.233976168655692
